No,Platform,Phase/Delay,Indikator,Step Order,Task ID (Airflow),Tipe Step,Script/File,Config (.cfg),Parameter SP,SSH Host,Dependency,Status Convert,Tested/Untested,PIC,Catatan,DAG ID,Task Group,Source System,Target Layer,Tool Target GCP,Schedule/Cadence,Bukti Referensi,Priority,Due Date
,,,PIPELINE | dragon | Daily 00 14 * * *,,,,,,,,,Pending,,,DAG converted. 5 SQL tasks converted. Remaining SQL + PySpark ingest strategy still pending.,dragon,,Cloudera,L3,,Daily 00 14 * * *,,P2,2026-04-22
1,Cloudera,,Dragon,1,DummyOperator Orchestration (12 tasks),Dummy,-,-,-,-,-,SKIP,Untested,NIO,Grouped 12 tasks. Tidak perlu convert.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
2,Cloudera,,Dragon,2,DummyOperator check_ahass_* (131 tasks),Dummy (AHASS check),-,-,-,-,-,SKIP,Untested,NIO,Grouped 131 tasks. Tidak perlu convert.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
3,Cloudera,,Dragon,3,DummyOperator check_psshso_* (146 tasks),Dummy (PSSHSO check),-,-,-,-,-,SKIP,Untested,NIO,Grouped 146 tasks. Tidak perlu convert.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
4,Cloudera,,Dragon,4,DummyOperator union_* (99 tasks),Dummy (Union sync),-,-,-,-,-,SKIP,Untested,NIO,Grouped 99 tasks. Tidak perlu convert.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
5,Cloudera,,Dragon,5,DummyOperator finish_* (24 tasks),Dummy (Finish gate),-,-,-,-,-,SKIP,Untested,NIO,Grouped 24 tasks. Tidak perlu convert.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
6,Cloudera,,Dragon,6,DummyOperator SMW_* (disabled) (3 tasks),Dummy (SMW disabled),-,-,-,-,-,SKIP,Untested,NIO,Grouped 3 tasks. Tidak perlu convert.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
7,Cloudera,,Dragon,7,Invalidate Metadata inv_* (318 tasks),Invalidate Metadata,-,-,-,-,-,SKIP,Untested,NIO,Grouped 318 tasks. Tidak perlu convert.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
8,Cloudera,,Dragon,8,Compute Stats com_* (21 tasks),Compute Stats,-,-,-,-,-,SKIP,Untested,NIO,Grouped 21 tasks. Tidak perlu convert.,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
9,Cloudera,,Dragon,9,astranet_dealerhondaprofileahm_file,Ingest Python,-,-,-,-,-,SKIP,Untested,NIO,Script ingest AstraNet tidak ada di TFS. Butuh file landing infrastruktur AstraNet ke GCP (Cloud Storage + trigger).,dragon,,Cloudera,L3,SKIP (DAG paused),Daily 00 14 * * *,,P2,
