No,Project,Priority,Indikator,Phase/Delay,Platform,DAG ID,Assets,Database Name,Table Name,Layer Bucket,Dataset BQ,Config (.cfg),Parameter SP,Target Layer,Script/File,Script File,Tool Target GCP,Schedule/Cadence,Initial Landing,Initial Mart,DA Maping,ETL Conversion,Incremental,Internal Testing,PQA Test,BI Dev,Orchestration,Labeling Charging,Dataplex,Sign-off Document,Last Updated
1,dragon,P2,dragon,,Cloudera,dragon,,,,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,,dragon.py,,Daily 00 14 * * *,Completed,Completed,Completed,In Progress,,,,,,,,,2026-05-13
1,,P2,dragon,Dummy,Cloudera,dragon,,opr_ast_so2w_wh_dm,DummyOperator Orchestration (12 tasks),,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
2,,P2,dragon,Dummy (AHASS check),Cloudera,dragon,,opr_ast_so2w_wh_dm,DummyOperator check_ahass_* (131 tasks),,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
3,,P2,dragon,Dummy (PSSHSO check),Cloudera,dragon,,opr_ast_so2w_wh_dm,DummyOperator check_psshso_* (146 tasks),,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
4,,P2,dragon,Dummy (Union sync),Cloudera,dragon,,opr_ast_so2w_wh_dm,DummyOperator union_* (99 tasks),,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
5,,P2,dragon,Dummy (Finish gate),Cloudera,dragon,,opr_ast_so2w_wh_dm,DummyOperator finish_* (24 tasks),,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
6,,P2,dragon,Dummy (SMW disabled),Cloudera,dragon,,opr_ast_so2w_wh_dm,DummyOperator SMW_* (disabled) (3 tasks),,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
7,,P2,dragon,Invalidate Metadata,Cloudera,dragon,,opr_ast_so2w_wh_dm,Invalidate Metadata inv_* (318 tasks),,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
8,,P2,dragon,Compute Stats,Cloudera,dragon,,opr_ast_so2w_wh_dm,Compute Stats com_* (21 tasks),,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
9,,P2,dragon,Ingest Python,Cloudera,dragon,,opr_ast_so2w_wh_dm,astranet_dealerhondaprofileahm_file,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
10,,P2,dragon,Ingest Python,Cloudera,dragon,,opr_ast_so2w_wh_dm,astranet_grstatus_file,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
11,,P2,dragon,Ingest Python,Cloudera,dragon,,opr_ast_so2w_wh_dm,astranet_pkbtypenewpss_file,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
12,,P2,dragon,Ingest Python,Cloudera,dragon,,opr_ast_so2w_wh_dm,astranet_pkbtypenewahass_file,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
13,,P2,dragon,Ingest Python,Cloudera,dragon,,opr_ast_so2w_wh_dm,astranet_tobpm_file,,L3_CLOUDERA_DRAGON_HSO,-,-,L3,-,dragon.py,SKIP (DAG paused),Daily 00 14 * * *,Completed,Completed,Completed,Skip,,Skip,,,,,,,2026-05-13
