No,Project,Indicator,Assets,Database Name,Table Name,Layer Bucket,Dataset BQ,Initial Landing,Initial Mart,DA Mapping,ETL Conversion,ETL Test,Test Time (min),Incremental,Orchestration,Internal Testing,PQA Test,BI Dev,Labeling Charging,Dataplex,Sign-off Document,Last Updated
1,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_Activities,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
2,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_ActivityLeadsAssignments,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
3,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_ActivityLeadsFollowUpHistories,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
4,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_ActivityLeadsFollowUps,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
5,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_ActivityLeadsLogs,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
6,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_ActivityLeadsTransactions,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
7,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_ActivityTypes,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
8,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_Leads,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
9,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_LeadsIncomings,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
10,Reporting_FunnelingLeads,Funneling Leads H1,Data Landing,L1_STAR,Crm_LeadsInterestDatas,YES,,-,-,-,-,-,5,-,-,-,-,-,-,-,-,2026-05-18
