Platform,Project,Source,Asset,Database_Dataset,Table_Name,Table_Size_GB,File_Path_HDFS,Link_Script_Notebook,Link_Pipeline_Orchestration
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,CDDBUDSTK,1.2,,,-
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,RefEquipment,2.1,,,
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,SvPKBHeader,5.9,,,
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,SvPKBHeaderEquipment,2.6,,,
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,customer,2.2,,,
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,invoice,0.225,,,
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,jabatan,0.0001332,,,
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,mappingkaryawanjabatan,0.0008046,,,
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,salesorder,0.7927,,,
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,svmappingpit,0.0048,,,
Cloudera,Dragon,AHASS,Data Landing,opr_ast_ahass_wh_di,svtipepit,0.0001334,,,
Cloudera,Dragon,AVOCADO,Data Landing,opr_ast_avocado_wh_di,city,0.000309,,,
Cloudera,Dragon,AVOCADO,Data Landing,opr_ast_avocado_wh_di,kecamatan,0.0003326,,,
Cloudera,Dragon,AVOCADO,Data Landing,opr_ast_avocado_wh_di,kelurahan,0.0044,,,
Cloudera,Dragon,AVOCADO,Data Landing,opr_ast_avocado_wh_di,occupation,0.0000049,,,
Cloudera,Dragon,AVOCADO,Data Landing,opr_ast_avocado_wh_di,province,0.0000051,,,
Cloudera,Dragon,PBI,Data Landing,opr_ast_bi_lh_di,reportlogbi_cleansing,0.2351,,,PowerBILogIngestion
Cloudera,Dragon,MASTER2W,Data Landing,opr_ast_master2w_wh_di,Dealer,0.0002681,,,-
Cloudera,Dragon,MASTER2W,Data Landing,opr_ast_master2w_wh_di,dealergroup,0.0000113,,,-
Cloudera,Dragon,MASTER2W,Data Landing,opr_ast_master2w_wh_di,dealertelephone,0.0000355,,,
Cloudera,Dragon,MASTER2W,Data Landing,opr_ast_master2w_wh_di,district,0.0000174,,,-
Cloudera,Dragon,MASTER2W,Data Landing,opr_ast_master2w_wh_di,kecamatan,0.0001713,,,-
Cloudera,Dragon,MASTER2W,Data Landing,opr_ast_master2w_wh_di,kelurahan,0.0026,,,-
Cloudera,Dragon,MASTER2W,Data Landing,opr_ast_master2w_wh_di,lookup,0.0000074,,,
Cloudera,Dragon,MASTER2W,Data Landing,opr_ast_master2w_wh_di,province,0.0000038,,,-
Cloudera,Dragon,MASTER 2W,Data Landing,opr_ast_master2w_wh_di,region,0.000003,,,
Cloudera,Dragon,PORTAL HSO,Data Landing,opr_ast_portalhso_wh_di,Dealer,0.0003833,,,
Cloudera,Dragon,PORTAL HSO,Data Landing,opr_ast_portalhso_wh_di,city,0.0000162,,,-
Cloudera,Dragon,PORTAL HSO,Data Landing,opr_ast_portalhso_wh_di,city_ahm,0.0000062,,,-
Cloudera,Dragon,PORTAL HSO,Data Landing,opr_ast_portalhso_wh_di,dealer_status,0.0000026,,,
Cloudera,Dragon,PORTAL HSO,Data Landing,opr_ast_portalhso_wh_di,dealer_telephone,0.0000123,,,
Cloudera,Dragon,PORTAL HSO,Data Landing,opr_ast_portalhso_wh_di,dealer_territory_result,0.0000375,,,
Cloudera,Dragon,PORTAL HSO,Data Landing,opr_ast_portalhso_wh_di,kecamatan,0.0001107,,,
Cloudera,Dragon,PORTAL HSO,Data Landing,opr_ast_portalhso_wh_di,kelurahan,0.0012,,,
Cloudera,Dragon,PORTAL HSO,Data Landing,opr_ast_portalhso_wh_di,province,0.0000026,,,
Cloudera,Dragon,SAP,Data Landing,opr_ast_sap_wh_di,bkpf,3.8,,,dragon_SAP - Grid - Airflow
Cloudera,Dragon,SAP,Data Landing,opr_ast_sap_wh_di,bsec,0.0000088,,,dragon_SAP - Grid - Airflow
Cloudera,Dragon,SAP,Data Landing,opr_ast_sap_wh_di,bseg,0.948,,,dragon_SAP - Grid - Airflow
Cloudera,Dragon,SAP,Data Landing,opr_ast_sap_wh_di,mappingunittype,0.000043,,,dragon_SAP
